"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","install_time","notes"
"uuid:ea0bd052-3836-4745-8410-a409d7191951","74","071417010724 110401 O3 1707 -24.9","071717010504 110501 NO2 1707 -59.63","071817010359 110303 H2S 1707 247.06","071217010110 110601 SO2 1707 39.65","Wed Apr 18 18:47:49 UTC 2018",
"uuid:8f87b5e6-c99b-4fb1-b62c-f80fb363d0e8","75","071417010633 110401 O3 1707 -29.43","071717010214 110501 NO2 1707 -42.19","071817010137 110303 H2S 1707 255.18","071217010607 110601 SO2 1707 41.84","Wed Apr 18 18:56:23 UTC 2018",
"uuid:87bf0b48-56f3-4a0e-b2a3-69b61b04cf31","85","071417010605 110401 O3 1707 -29.79","071717010523 110501 NO2 1707 -54.58","071817010124 110303 H2S 1707 274.59","071217010849 110601 SO2 1707 44.11","Wed Apr 18 18:59:28 UTC 2018",
"uuid:950a7655-1aea-4683-a1a2-d5586c907cc9","73","071417010604 110401 O3 1707 -33.38","071717010542 110501 NO2 1707 -56.20","071817010146 110303 H2S 1707 242.45","071217010653 110601 SO2 1707 41.39","Wed Apr 18 19:02:17 UTC 2018",
"uuid:42eff9bc-2d4f-4c06-98ad-cd2db25e1111","98","071417010751 110401 O3 1707 -35.07","071717010438 110501 NO2 1707 -43.37","071817010135 110303 H2S 1707 256.10","071217010453 110601 SO2 1707 40.87","Wed Apr 18 19:04:18 UTC 2018",
"uuid:732572ad-531d-4060-815f-17a50550385b","93","071417010654 110401 O3 1707 -33.4","071717010238 110501 NO2 1707 -40.87","071817010151 110303 H2S 1707 279.91","071217010620 110601 SO2 1707 39.34","Wed Apr 18 19:06:08 UTC 2018",
"uuid:cde438d5-95ad-4485-a4c0-7e81cfcbf726","100","071417010646 110401 O3 1707 -36.12","071717010506 110501 NO2 1707 -54.24","071817010705 110303 H2S 1707 239.46","071217010140 110601 SO2 1707 43.41","Wed Apr 18 19:07:53 UTC 2018",
"uuid:261378bf-9f31-4ab3-9ada-a5cdb04a4c37","91","071417010619 110401 O3 1707 -35.91","071717010237 110501 NO2 1707 -39.09","071817010131 110303 H2S 1707 253.73","071217010415 110601 SO2 1707 41.58","Wed Apr 18 19:10:50 UTC 2018",
"uuid:40253aba-f16e-47b7-a5fd-f0da18477835","96","071417010648 110401 O3 1707 -34.11","071717010515 110501 NO2 1707 -58.29","071817010634 110303 H2S 1707 293.40","071217010435 110601 SO2 1707 34.95","Wed Apr 18 19:12:51 UTC 2018",
"uuid:4af4ee92-d801-4885-8781-ae6e913330fd","92","071417010639 110401 O3 1707 -28.66","071717010156 110501 NO2 1707 -29.08","071817010809 110303 H2S 1707 276.41","071217010458 110601 SO2 1707 35.03","Wed Apr 18 19:16:52 UTC 2018",
"uuid:4f766c3d-7590-4d53-94e6-b45ae1b9db0f","46","050217012307 110401 O3 1705 -11.39","071717010107 110501 NO2 1707 -36.00","071817010456 110303 H2S 1707 273.60","071217010747 110601 SO2 1707 39.87","Mon Apr 23 02:35:03 UTC 2018",
"uuid:814f7aee-ba45-419b-896e-dc175381dbad","49","050217012459 110401 O3 1705 -12.86","071717010151 110501 NO2 1707 -31.81","071817010227 110303 H2S 1707 276.00","071217010755 110601 SO2 1707 43.37","Mon Apr 23 02:37:44 UTC 2018",
"uuid:8c7173a2-dba6-43d4-b560-3c8f0c436615","67","050217012442 110401 O3 1705 -12.93","071717010439 110501 NO2 1707 -44.62","071817010454 110303 H2S 1707 254.39","071217010717 110601 SO2 1707 38.93","Mon Apr 23 02:39:36 UTC 2018","r"
"uuid:a086b94d-7efa-4630-aedd-5be3ee0b20c8","104","050217012418 110401 O3 1705 -13.51","071717010113 110501 NO2 1707 -34.06","071817010221 110303 H2S 1707 151.76","071217010719 110601 SO2 1707 35.24","Mon Apr 23 02:41:32 UTC 2018",
