"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","sunorshade","photo","install_time","notes"
"uuid:4ac3bfe8-771b-4622-b7de-798ca02ddacb","31",,,,,"39.3459720300","-76.6210358800","96.0000000000","5.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4ac3bfe8-771b-4622-b7de-798ca02ddacb%5D%2Fphoto","Thu Sep 14 19:30:27 UTC 2017","Loyola main campus"
"uuid:b1b283bd-916d-4862-b5d9-1c5333fa7ab5","29",,,,,"39.3457223000","-76.6432411600","32.0000000000","16.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab1b283bd-916d-4862-b5d9-1c5333fa7ab5%5D%2Fphoto","Sat Sep 16 21:26:22 UTC 2017","Poly auditorium"
"uuid:0a1c8fb9-6b9f-495a-9953-5b9854712a1e","21",,,,,"39.3456448100","-76.6430993700","53.0000000000","5.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0a1c8fb9-6b9f-495a-9953-5b9854712a1e%5D%2Fphoto","Sat Sep 16 21:32:33 UTC 2017","Poly auditorium"
"uuid:7206e342-8b87-40c2-bf21-8e0761a4ca62","26",,,,,"39.3455988200","-76.6430966700","59.0000000000","5.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7206e342-8b87-40c2-bf21-8e0761a4ca62%5D%2Fphoto","Sat Sep 16 22:03:04 UTC 2017","Poly auditprium"
"uuid:723bffce-ead5-402b-88d2-3515ecff0c7e","32","050217012429 110401 O3 1705 -13.71","071717010436 110501 NO2 1707 -40.50","071817010243 110303 H2S 1707 295.57","071217010744 110601 SO2 1707 38.69",,,,,,,"Sun Sep 17 21:42:56 UTC 2017",
"uuid:91aa1d3b-f8c6-4feb-86a3-30f4f1794c3c","33","050217012223 110401 O3 1705 -10.18","071717010123 110501 NO2 1707 -30.09","071817010204 110303 H2S 1707 288.01","071217010247 110601 SO2 1707 42.06",,,,,,,"Sun Sep 17 21:57:09 UTC 2017",
"uuid:56f8305d-c148-4274-ac34-dbb5b17cb22b","34","050217012329 110401 O3 1705 -11.85","071717010126 110501 NO2 1707 -29.86","071817010407 110303 H2S 1707 293.43","071217010212 110601 SO2 1707 40.96",,,,,,,"Sun Sep 17 21:59:28 UTC 2017",
"uuid:6791cad0-7999-492e-9bd7-fc77840cc634","35","050217012422 110401 O3 1705 -10.71","071717010427 110501 NO2 1707 -37.01","071817010201 110303 H2S 1707 258.84","071217010239 110601 SO2 1707 40.15",,,,,,,"Sun Sep 17 22:05:45 UTC 2017",
"uuid:c5a75d33-6478-491c-b636-92185b529716","38","050217012402 110401 O3 1705 -12.26","071717010432 110501 NO2 1707 -37.32","071817010457 110303 H2S 1707 273.32","071217010213 110601 SO2 1707 41.45",,,,,,,"Sun Sep 17 22:08:53 UTC 2017",
"uuid:dbdadae3-75f3-40d8-b53a-e67545170f8d","39","050217012316 110401 O3 1705 -13.96","071717010460 110501 NO2 1707 -41.01","071817010216 110303 H2S 1707 236.76","071217010230 110601 SO2 1707 29.33",,,,,,,"Sun Sep 17 22:15:00 UTC 2017",
